Tiempo_A,Analitica,Tiempo,Euler,RK4
0,1,0,1,1
0.0001,1,0.1,0.9,0.904837
0.0002,0.9999,0.2,0.81,0.818731
0.0003,0.9998,0.3,0.729,0.740818
0.0004,0.9997,0.4,0.6561,0.67032
0.0005,0.9996,0.5,0.59049,0.606531
0.0006,0.9995,0.6,0.531441,0.548812
0.0007,0.9994,0.7,0.478297,0.496586
0.0008,0.9993,0.8,0.430467,0.449329
0.0009,0.9992,0.9,0.38742,0.40657
0.001,0.9991,1,0.348678,0.36788
0.0011,0.999,1.1,0.313811,0.332871
0.0012,0.998901,1.2,0.28243,0.301195
0.0013,0.998801,1.3,0.254187,0.272532
0.0014,0.998701,1.4,0.228768,0.246597
0.0015,0.998601,1.5,0.205891,0.22313
0.0016,0.998501,1.6,0.185302,0.201897
0.0017,0.998401,1.7,0.166772,0.182684
0.0018,0.998301,1.8,0.150095,0.165299
0.0019,0.998202,1.9,0.135085,0.149569
0.002,0.998102,0.899515,0.897538,0.892526
0.0021,0.998002,8.74496e-322,1.3488e-321,0.892436
0.0022,0.997902,1,5.37543e-321,0.892347
0.0023,0.997802,0.9,2.69716e-205,0.892258
0.0024,0.997703,0.81,0.2,0.892169
0.0025,0.997603,0.729,0.3,0.89208
0.0026,0.997503,0.6561,0.4,0.89199
0.0027,0.997403,0.59049,0.5,0.891901
0.0028,0.997304,0.531441,0.6,0.891812
0.0029,0.997204,0.478297,0.7,0.891723
0.003,0.997104,0.430467,0.8,0.891634
0.0031,0.997004,0.38742,0.9,0.891544
0.0032,0.996905,0.348678,1,0.891455
0.0033,0.996805,0.313811,1.1,2.37646e-321
0.0034,0.996705,0.28243,1.2,0.891277
0.0035,0.996606,0.254187,1.3,0
0.0036,0.996506,0.228768,1.4,0
0.0037,0.996406,0.205891,1.5,0
0.0038,0.996307,0.185302,1.6,0
0.0039,0.996207,0.166772,1.7,0
0.004,0.996108,0.150095,1.8,0
0.0041,0.996008,0.135085,1.9,0
0.0042,0.995908,0.897538,0.895565,0
0.0043,0.995809,1.3488e-321,0.895476,0
0.0044,0.995709,5.37543e-321,0.895386,0
0.0045,0.99561,2.69716e-205,0.895297,0
0.0046,0.99551,0.2,0.895207,0
0.0047,0.995411,0.3,0.895118,6.95335e-310
0.0048,0.995311,0.4,0.895028,1.4822e-323
0.0049,0.995212,0.5,0.894939,0.889941
0.005,0.995112,0.6,0.894849,0.889852
0.0051,0.995012,0.7,0.89476,2.20241e-317
0.0052,0.994913,0.8,0.89467,-nan
0.0053,0.994813,0.9,0.894581,0.889585
0.0054,0.994714,1,0.894491,2.20242e-317
0.0055,0.994615,1.1,1.3488e-321,0
0.0056,0.994515,1.2,1,0.889318
0.0057,0.994416,1.3,0.904837,0.889229
0.0058,0.994316,1.4,0.818731,0.88914
0.0059,0.994217,1.5,0.740818,0.889052
0.006,0.994117,1.6,0.67032,0.888963
0.0061,0.994018,1.7,0.606531,6.95335e-310
0.0062,0.993919,1.8,0.548812,0
0.0063,0.993819,1.9,0.496586,0
0.0064,0.99372,0.895565,0.449329,0
0.0065,0.99362,0.895476,0.40657,0
0.0066,0.993521,0.895386,0.36788,0
0.0067,0.993422,0.895297,0.332871,0
0.0068,0.993322,0.895207,0.301195,0
0.0069,0.993223,0.895118,0.272532,0
0.007,0.993124,0.895028,0.246597,0
0.0071,0.993024,0.894939,0.22313,0
0.0072,0.992925,0.894849,0.201897,0
0.0073,0.992826,0.89476,0.182684,0
0.0074,0.992727,0.89467,0.165299,0
0.0075,0.992627,0.894581,0.149569,0.88763
0.0076,0.992528,0.894491,0.892526,0.887541
0.0077,0.992429,1.3488e-321,0.892436,0.887453
0.0078,0.99233,1,0.892347,0.887364
0.0079,0.99223,0.904837,0.892258,0.887275
0.008,0.992131,0.818731,0.892169,0.887187
0.0081,0.992032,0.740818,0.89208,0.887098
0.0082,0.991933,0.67032,0.89199,0.887009
0.0083,0.991834,0.606531,0.891901,0.88692
0.0084,0.991734,0.548812,0.891812,0.886832
0.0085,0.991635,0.496586,0.891723,0.886743
0.0086,0.991536,0.449329,0.891634,0.886654
0.0087,0.991437,0.40657,0.891544,0.886566
0.0088,0.991338,0.36788,0.891455,0.886477
0.0089,0.991239,0.332871,2.37646e-321,0.886388
0.009,0.991139,0.301195,0.891277,0.8863
0.0091,0.99104,0.272532,0,0.886211
0.0092,0.990941,0.246597,0,6.95335e-310
0.0093,0.990842,0.22313,0,4.05578e-320
0.0094,0.990743,0.201897,0,8.24058e+06
0.0095,0.990644,0.182684,0,9.76514e+199
0.0096,0.990545,0.165299,0,3.65104e+233
0.0097,0.990446,0.149569,0,1.378e-94
0.0098,0.990347,0.892526,0,8.03966e-96
0.0099,0.990248,0.892436,0,3.22523e-86
0.01,0.990149,0.892347,0,1.21736e-76
0.0101,0.99005,0.892258,0,1.21871e-76
0.0102,0.989951,0.892169,0,1.88614e-259
0.0103,0.989852,0.89208,6.95335e-310,1.21753e-76
0.0104,0.989753,0.89199,1.4822e-323,3.25196e-86
0.0105,0.989654,0.891901,0.889941,1.21737e-76
0.0106,0.989555,0.891812,0.889852,1.39834e-259
0.0107,0.989456,0.891723,2.20241e-317,1.2177e-76
0.0108,0.989357,0.891634,-nan,3.25196e-86
0.0109,0.989258,0.891544,0.889585,1.1796e-95
0.011,0.989159,0.891455,2.20242e-317,5.06035e-38
0.0111,0.98906,2.37646e-321,0,9.45148e-96
0.0112,0.988961,0.891277,0.889318,1.21838e-76
0.0113,0.988862,0,0.889229,1.45136e-47
0.0114,0.988764,0,0.88914,3.94181e-62
0.0115,0.988665,0,0.889052,1.69013e-52
0.0116,0.988566,0,0.888963,1.04043e-95
0.0117,0.988467,0,6.95335e-310,4.0792e-33
