Tiempo Euler RK4 Error_Euler Error_RK4
0 1 1 0 0
0.1 0.9 0.904837 0.00534617 9.05843e-08
0.2 0.81 0.818731 0.0106638 1.81169e-07
0.3 0.729 0.740818 0.0159529 2.71753e-07
0.4 0.6561 0.67032 0.0212138 3.62337e-07
0.5 0.59049 0.606531 0.0264466 4.52921e-07
0.6 0.531441 0.548812 0.0316514 5.43506e-07
0.7 0.478297 0.496586 0.0368283 6.3409e-07
0.8 0.430467 0.449329 0.0419776 7.24674e-07
0.9 0.38742 0.40657 0.0470994 8.15259e-07
1 0.348678 0.36788 0.0521937 9.05843e-07
1.1 0.313811 0.332871 0.0572609 9.96427e-07
1.2 0.28243 0.301195 0.0623009 1.08701e-06
1.3 0.254187 0.272532 0.067314 1.1776e-06
1.4 0.228768 0.246597 0.0723003 1.26818e-06
1.5 0.205891 0.22313 0.07726 1.35876e-06
1.6 0.185302 0.201897 0.0821931 1.44935e-06
1.7 0.166772 0.182684 0.0870998 1.53993e-06
1.8 0.150095 0.165299 0.0919804 1.63052e-06
1.9 0.135085 0.149569 0.0968348 1.7211e-06
2 0.121577 0.135336 0.101663 1.81169e-06
2.1 0.109419 0.122457 0.106466 1.90227e-06
2.2 0.0984771 0.110803 0.111243 1.99286e-06
2.3 0.0886294 0.100259 0.115994 2.08344e-06
2.4 0.0797664 0.0907182 0.12072 2.17402e-06
2.5 0.0717898 0.0820852 0.125421 2.26461e-06
2.6 0.0646108 0.0742738 0.130097 2.35519e-06
2.7 0.0581497 0.0672057 0.134748 2.44578e-06
2.8 0.0523348 0.0608102 0.139373 2.53636e-06
2.9 0.0471013 0.0550234 0.143974 2.62695e-06
