Tiempo Posicion_Euler Velocidad_Euler Posicion_Leapfrog Velocidad_Leapfrog
0 0.1 0 0.1 0
0.0001 0.1 -0.0025 0.0999999 -0.0025
0.0002 0.0999998 -0.005 0.0999995 -0.005
0.0003 0.0999993 -0.00749999 0.0999989 -0.00749998
0.0004 0.0999985 -0.00999998 0.099998 -0.00999996
0.0005 0.0999975 -0.0124999 0.0999969 -0.0124999
0.0006 0.0999963 -0.0149999 0.0999955 -0.0149998
0.0007 0.0999948 -0.0174998 0.0999939 -0.0174997
0.0008 0.099993 -0.0199997 0.099992 -0.0199996
0.0009 0.099991 -0.0224995 0.0999899 -0.0224994
0.001 0.0999888 -0.0249993 0.0999875 -0.0249991
0.0011 0.0999863 -0.027499 0.0999849 -0.0274988
0.0012 0.0999835 -0.0299986 0.099982 -0.0299984
0.0013 0.0999805 -0.0324982 0.0999789 -0.032498
0.0014 0.0999773 -0.0349977 0.0999755 -0.0349974
0.0015 0.0999738 -0.0374972 0.0999719 -0.0374968
0.0016 0.09997 -0.0399965 0.099968 -0.0399961
0.0017 0.099966 -0.0424958 0.0999639 -0.0424953
0.0018 0.0999618 -0.0449949 0.0999595 -0.0449944
0.0019 0.0999573 -0.0474939 0.0999549 -0.0474934
0.002 0.0999525 -0.0499929 0.09995 -0.0499923
0.0021 0.0999475 -0.0524917 0.0999449 -0.052491
0.0022 0.0999423 -0.0549904 0.0999395 -0.0549897
0.0023 0.0999368 -0.0574889 0.0999339 -0.0574881
0.0024 0.099931 -0.0599874 0.099928 -0.0599865
0.0025 0.099925 -0.0624856 0.0999219 -0.0624847
0.0026 0.0999188 -0.0649838 0.0999155 -0.0649827
0.0027 0.0999123 -0.0674817 0.0999089 -0.0674806
0.0028 0.0999055 -0.0699795 0.099902 -0.0699783
0.0029 0.0998985 -0.0724772 0.0998949 -0.0724759
0.003 0.0998913 -0.0749746 0.0998875 -0.0749733
0.0031 0.0998838 -0.0774719 0.0998799 -0.0774705
0.0032 0.099876 -0.079969 0.099872 -0.0799675
0.0033 0.099868 -0.0824659 0.0998639 -0.0824643
0.0034 0.0998598 -0.0849626 0.0998555 -0.0849609
0.0035 0.0998513 -0.0874591 0.0998469 -0.0874572
0.0036 0.0998425 -0.0899554 0.099838 -0.0899534
0.0037 0.0998335 -0.0924514 0.0998289 -0.0924494
0.0038 0.0998243 -0.0949473 0.0998196 -0.0949451
0.0039 0.0998148 -0.0974429 0.0998099 -0.0974406
0.004 0.0998051 -0.0999383 0.0998001 -0.0999358
0.0041 0.0997951 -0.102433 0.0997899 -0.102431
0.0042 0.0997848 -0.104928 0.0997796 -0.104926
0.0043 0.0997743 -0.107423 0.099769 -0.10742
0.0044 0.0997636 -0.109917 0.0997581 -0.109914
0.0045 0.0997526 -0.112411 0.099747 -0.112408
0.0046 0.0997414 -0.114905 0.0997356 -0.114902
0.0047 0.0997299 -0.117399 0.099724 -0.117395
0.0048 0.0997181 -0.119892 0.0997121 -0.119888
0.0049 0.0997061 -0.122385 0.0997 -0.122381
0.005 0.0996939 -0.124878 0.0996877 -0.124874
0.0051 0.0996814 -0.12737 0.099675 -0.127366
0.0052 0.0996687 -0.129862 0.0996622 -0.129858
0.0053 0.0996557 -0.132354 0.0996491 -0.132349
0.0054 0.0996424 -0.134845 0.0996357 -0.134841
0.0055 0.099629 -0.137336 0.0996221 -0.137331
0.0056 0.0996152 -0.139827 0.0996082 -0.139822
0.0057 0.0996012 -0.142317 0.0995941 -0.142312
0.0058 0.099587 -0.144807 0.0995798 -0.144802
0.0059 0.0995725 -0.147297 0.0995652 -0.147292
0.006 0.0995578 -0.149786 0.0995503 -0.149781
0.0061 0.0995428 -0.152275 0.0995352 -0.152269
0.0062 0.0995276 -0.154764 0.0995199 -0.154758
0.0063 0.0995121 -0.157252 0.0995043 -0.157246
0.0064 0.0994964 -0.15974 0.0994884 -0.159733
0.0065 0.0994804 -0.162227 0.0994723 -0.162221
0.0066 0.0994642 -0.164714 0.099456 -0.164707
0.0067 0.0994477 -0.167201 0.0994394 -0.167194
0.0068 0.099431 -0.169687 0.0994225 -0.16968
0.0069 0.099414 -0.172173 0.0994054 -0.172165
0.007 0.0993968 -0.174658 0.0993881 -0.174651
0.0071 0.0993794 -0.177143 0.0993705 -0.177135
0.0072 0.0993616 -0.179627 0.0993527 -0.179619
0.0073 0.0993437 -0.182112 0.0993346 -0.182103
0.0074 0.0993255 -0.184595 0.0993163 -0.184587
0.0075 0.099307 -0.187078 0.0992977 -0.18707
0.0076 0.0992883 -0.189561 0.0992788 -0.189552
0.0077 0.0992693 -0.192043 0.0992598 -0.192034
0.0078 0.0992501 -0.194525 0.0992404 -0.194515
0.0079 0.0992307 -0.197006 0.0992209 -0.196997
0.008 0.099211 -0.199487 0.099201 -0.199477
0.0081 0.099191 -0.201967 0.099181 -0.201957
0.0082 0.0991708 -0.204447 0.0991606 -0.204437
0.0083 0.0991504 -0.206926 0.0991401 -0.206916
0.0084 0.0991297 -0.209405 0.0991193 -0.209394
0.0085 0.0991088 -0.211883 0.0990982 -0.211872
0.0086 0.0990876 -0.214361 0.0990769 -0.21435
0.0087 0.0990661 -0.216838 0.0990553 -0.216826
0.0088 0.0990445 -0.219315 0.0990335 -0.219303
0.0089 0.0990225 -0.221791 0.0990115 -0.221779
0.009 0.0990003 -0.224266 0.0989892 -0.224254
0.0091 0.0989779 -0.226741 0.0989666 -0.226729
0.0092 0.0989552 -0.229216 0.0989438 -0.229203
0.0093 0.0989323 -0.23169 0.0989208 -0.231676
0.0094 0.0989092 -0.234163 0.0988975 -0.234149
0.0095 0.0988857 -0.236636 0.098874 -0.236622
0.0096 0.0988621 -0.239108 0.0988502 -0.239094
0.0097 0.0988382 -0.24158 0.0988261 -0.241565
0.0098 0.098814 -0.24405 0.0988019 -0.244036
0.0099 0.0987896 -0.246521 0.0987773 -0.246506
0.01 0.0987649 -0.248991 0.0987526 -0.248975
0.0101 0.09874 -0.25146 0.0987275 -0.251444
0.0102 0.0987149 -0.253928 0.0987023 -0.253912
0.0103 0.0986895 -0.256396 0.0986767 -0.25638
0.0104 0.0986639 -0.258863 0.098651 -0.258847
0.0105 0.098638 -0.26133 0.098625 -0.261313
0.0106 0.0986119 -0.263796 0.0985987 -0.263779
0.0107 0.0985855 -0.266261 0.0985722 -0.266243
0.0108 0.0985588 -0.268726 0.0985455 -0.268708
0.0109 0.098532 -0.27119 0.0985185 -0.271171
0.011 0.0985049 -0.273653 0.0984912 -0.273634
0.0111 0.0984775 -0.276116 0.0984638 -0.276097
0.0112 0.0984499 -0.278578 0.098436 -0.278558
0.0113 0.098422 -0.281039 0.098408 -0.281019
0.0114 0.0983939 -0.283499 0.0983798 -0.283479
0.0115 0.0983656 -0.285959 0.0983513 -0.285939
0.0116 0.098337 -0.288418 0.0983226 -0.288398
0.0117 0.0983081 -0.290877 0.0982937 -0.290856
0.0118 0.098279 -0.293335 0.0982645 -0.293313
0.0119 0.0982497 -0.295791 0.098235 -0.29577
0.012 0.0982201 -0.298248 0.0982053 -0.298226
0.0121 0.0981903 -0.300703 0.0981754 -0.300681
0.0122 0.0981602 -0.303158 0.0981452 -0.303135
0.0123 0.0981299 -0.305612 0.0981147 -0.305589
0.0124 0.0980994 -0.308065 0.0980841 -0.308042
0.0125 0.0980685 -0.310518 0.0980531 -0.310494
0.0126 0.0980375 -0.312969 0.098022 -0.312945
0.0127 0.0980062 -0.31542 0.0979905 -0.315396
0.0128 0.0979747 -0.317871 0.0979589 -0.317845
0.0129 0.0979429 -0.32032 0.097927 -0.320294
0.013 0.0979108 -0.322768 0.0978948 -0.322742
0.0131 0.0978786 -0.325216 0.0978624 -0.32519
0.0132 0.097846 -0.327663 0.0978298 -0.327636
0.0133 0.0978133 -0.330109 0.0977969 -0.330082
0.0134 0.0977803 -0.332555 0.0977638 -0.332527
0.0135 0.097747 -0.334999 0.0977304 -0.334971
0.0136 0.0977135 -0.337443 0.0976968 -0.337414
0.0137 0.0976798 -0.339886 0.0976629 -0.339857
0.0138 0.0976458 -0.342328 0.0976288 -0.342298
0.0139 0.0976115 -0.344769 0.0975944 -0.344739
0.014 0.0975771 -0.347209 0.0975598 -0.347179
0.0141 0.0975423 -0.349649 0.097525 -0.349618
0.0142 0.0975074 -0.352087 0.0974899 -0.352056
0.0143 0.0974722 -0.354525 0.0974546 -0.354493
0.0144 0.0974367 -0.356962 0.097419 -0.35693
0.0145 0.097401 -0.359398 0.0973832 -0.359365
0.0146 0.0973651 -0.361833 0.0973472 -0.3618
0.0147 0.0973289 -0.364267 0.0973108 -0.364233
0.0148 0.0972925 -0.3667 0.0972743 -0.366666
0.0149 0.0972558 -0.369132 0.0972375 -0.369098
0.015 0.0972189 -0.371564 0.0972005 -0.371529
0.0151 0.0971817 -0.373994 0.0971632 -0.373959
0.0152 0.0971443 -0.376424 0.0971257 -0.376388
0.0153 0.0971067 -0.378852 0.0970879 -0.378816
0.0154 0.0970688 -0.38128 0.0970499 -0.381243
0.0155 0.0970307 -0.383707 0.0970117 -0.38367
0.0156 0.0969923 -0.386132 0.0969732 -0.386095
0.0157 0.0969537 -0.388557 0.0969345 -0.388519
0.0158 0.0969148 -0.390981 0.0968955 -0.390943
0.0159 0.0968757 -0.393404 0.0968563 -0.393365
0.016 0.0968364 -0.395826 0.0968168 -0.395786
0.0161 0.0967968 -0.398247 0.0967771 -0.398207
0.0162 0.096757 -0.400667 0.0967372 -0.400626
0.0163 0.0967169 -0.403086 0.096697 -0.403045
0.0164 0.0966766 -0.405503 0.0966566 -0.405462
0.0165 0.0966361 -0.40792 0.0966159 -0.407879
0.0166 0.0965953 -0.410336 0.096575 -0.410294
0.0167 0.0965542 -0.412751 0.0965338 -0.412708
0.0168 0.096513 -0.415165 0.0964925 -0.415122
0.0169 0.0964715 -0.417578 0.0964508 -0.417534
0.017 0.0964297 -0.41999 0.0964089 -0.419945
0.0171 0.0963877 -0.4224 0.0963668 -0.422356
0.0172 0.0963455 -0.42481 0.0963245 -0.424765
0.0173 0.096303 -0.427219 0.0962819 -0.427173
0.0174 0.0962603 -0.429626 0.096239 -0.42958
0.0175 0.0962173 -0.432033 0.096196 -0.431986
0.0176 0.0961741 -0.434438 0.0961526 -0.434391
0.0177 0.0961306 -0.436843 0.0961091 -0.436795
0.0178 0.096087 -0.439246 0.0960653 -0.439197
0.0179 0.096043 -0.441648 0.0960212 -0.441599
0.018 0.0959989 -0.444049 0.095977 -0.443999
0.0181 0.0959545 -0.446449 0.0959324 -0.446399
0.0182 0.0959098 -0.448848 0.0958877 -0.448797
0.0183 0.0958649 -0.451246 0.0958427 -0.451194
0.0184 0.0958198 -0.453642 0.0957974 -0.45359
0.0185 0.0957744 -0.456038 0.095752 -0.455985
0.0186 0.0957288 -0.458432 0.0957062 -0.458379
0.0187 0.095683 -0.460825 0.0956603 -0.460772
0.0188 0.0956369 -0.463217 0.0956141 -0.463163
0.0189 0.0955906 -0.465608 0.0955677 -0.465554
0.019 0.095544 -0.467998 0.095521 -0.467943
0.0191 0.0954972 -0.470387 0.0954741 -0.470331
0.0192 0.0954502 -0.472774 0.0954269 -0.472718
0.0193 0.0954029 -0.47516 0.0953795 -0.475103
0.0194 0.0953554 -0.477545 0.0953319 -0.477488
0.0195 0.0953076 -0.479929 0.095284 -0.479871
0.0196 0.0952597 -0.482312 0.0952359 -0.482253
0.0197 0.0952114 -0.484694 0.0951876 -0.484634
0.0198 0.095163 -0.487074 0.095139 -0.487014
0.0199 0.0951142 -0.489453 0.0950902 -0.489392
0.02 0.0950653 -0.491831 0.0950411 -0.49177
0.0201 0.0950161 -0.494207 0.0949918 -0.494146
0.0202 0.0949667 -0.496583 0.0949423 -0.49652
0.0203 0.094917 -0.498957 0.0948925 -0.498894
0.0204 0.0948671 -0.50133 0.0948425 -0.501266
0.0205 0.094817 -0.503702 0.0947923 -0.503637
0.0206 0.0947666 -0.506072 0.0947418 -0.506007
0.0207 0.094716 -0.508441 0.0946911 -0.508376
0.0208 0.0946652 -0.510809 0.0946401 -0.510743
0.0209 0.0946141 -0.513176 0.0945889 -0.513109
0.021 0.0945628 -0.515541 0.0945375 -0.515474
0.0211 0.0945112 -0.517905 0.0944858 -0.517837
0.0212 0.0944594 -0.520268 0.0944339 -0.520199
0.0213 0.0944074 -0.522629 0.0943818 -0.52256
0.0214 0.0943552 -0.52499 0.0943294 -0.52492
0.0215 0.0943027 -0.527348 0.0942768 -0.527278
0.0216 0.0942499 -0.529706 0.094224 -0.529635
0.0217 0.094197 -0.532062 0.0941709 -0.53199
0.0218 0.0941437 -0.534417 0.0941176 -0.534345
0.0219 0.0940903 -0.536771 0.094064 -0.536698
0.022 0.0940366 -0.539123 0.0940102 -0.539049
0.0221 0.0939827 -0.541474 0.0939562 -0.5414
0.0222 0.0939286 -0.543824 0.0939019 -0.543748
0.0223 0.0938742 -0.546172 0.0938474 -0.546096
0.0224 0.0938196 -0.548519 0.0937927 -0.548442
0.0225 0.0937647 -0.550864 0.0937378 -0.550787
0.0226 0.0937096 -0.553208 0.0936826 -0.55313
0.0227 0.0936543 -0.555551 0.0936271 -0.555472
0.0228 0.0935988 -0.557892 0.0935715 -0.557813
0.0229 0.093543 -0.560232 0.0935156 -0.560152
0.023 0.0934869 -0.562571 0.0934594 -0.56249
0.0231 0.0934307 -0.564908 0.0934031 -0.564827
0.0232 0.0933742 -0.567244 0.0933465 -0.567162
0.0233 0.0933175 -0.569578 0.0932896 -0.569496
0.0234 0.0932605 -0.571911 0.0932326 -0.571828
0.0235 0.0932033 -0.574243 0.0931753 -0.574159
0.0236 0.0931459 -0.576573 0.0931177 -0.576488
0.0237 0.0930882 -0.578901 0.09306 -0.578816
0.0238 0.0930303 -0.581229 0.093002 -0.581142
0.0239 0.0929722 -0.583554 0.0929437 -0.583467
0.024 0.0929139 -0.585879 0.0928853 -0.585791
0.0241 0.0928553 -0.588201 0.0928266 -0.588113
0.0242 0.0927965 -0.590523 0.0927677 -0.590434
0.0243 0.0927374 -0.592843 0.0927085 -0.592753
0.0244 0.0926781 -0.595161 0.0926491 -0.595071
0.0245 0.0926186 -0.597478 0.0925895 -0.597387
0.0246 0.0925589 -0.599794 0.0925296 -0.599702
0.0247 0.0924989 -0.602108 0.0924695 -0.602015
0.0248 0.0924387 -0.60442 0.0924092 -0.604327
0.0249 0.0923782 -0.606731 0.0923487 -0.606637
0.025 0.0923176 -0.60904 0.0922879 -0.608946
0.0251 0.0922567 -0.611348 0.0922269 -0.611253
0.0252 0.0921955 -0.613655 0.0921656 -0.613559
0.0253 0.0921341 -0.61596 0.0921042 -0.615863
0.0254 0.0920726 -0.618263 0.0920425 -0.618165
0.0255 0.0920107 -0.620565 0.0919805 -0.620466
0.0256 0.0919487 -0.622865 0.0919184 -0.622766
0.0257 0.0918864 -0.625164 0.091856 -0.625064
0.0258 0.0918239 -0.627461 0.0917934 -0.62736
0.0259 0.0917611 -0.629757 0.0917305 -0.629655
0.026 0.0916981 -0.632051 0.0916674 -0.631948
0.0261 0.0916349 -0.634343 0.0916041 -0.63424
0.0262 0.0915715 -0.636634 0.0915406 -0.63653
0.0263 0.0915078 -0.638923 0.0914768 -0.638819
0.0264 0.091444 -0.641211 0.0914128 -0.641106
0.0265 0.0913798 -0.643497 0.0913486 -0.643391
0.0266 0.0913155 -0.645782 0.0912841 -0.645675
0.0267 0.0912509 -0.648064 0.0912195 -0.647957
0.0268 0.0911861 -0.650346 0.0911546 -0.650237
0.0269 0.0911211 -0.652625 0.0910894 -0.652516
0.027 0.0910558 -0.654903 0.0910241 -0.654793
0.0271 0.0909903 -0.65718 0.0909585 -0.657069
0.0272 0.0909246 -0.659455 0.0908926 -0.659343
0.0273 0.0908586 -0.661728 0.0908266 -0.661615
0.0274 0.0907925 -0.663999 0.0907603 -0.663886
0.0275 0.0907261 -0.666269 0.0906938 -0.666155
0.0276 0.0906594 -0.668537 0.0906271 -0.668422
0.0277 0.0905926 -0.670804 0.0905601 -0.670688
0.0278 0.0905255 -0.673068 0.090493 -0.672952
0.0279 0.0904582 -0.675332 0.0904255 -0.675214
0.028 0.0903907 -0.677593 0.0903579 -0.677475
0.0281 0.0903229 -0.679853 0.09029 -0.679734
0.0282 0.0902549 -0.682111 0.090222 -0.681991
0.0283 0.0901867 -0.684367 0.0901536 -0.684247
0.0284 0.0901183 -0.686622 0.0900851 -0.6865
0.0285 0.0900496 -0.688875 0.0900163 -0.688753
0.0286 0.0899807 -0.691126 0.0899474 -0.691003
0.0287 0.0899116 -0.693376 0.0898781 -0.693252
0.0288 0.0898423 -0.695623 0.0898087 -0.695499
0.0289 0.0897727 -0.697869 0.089739 -0.697744
0.029 0.0897029 -0.700114 0.0896692 -0.699987
0.0291 0.0896329 -0.702356 0.0895991 -0.702229
0.0292 0.0895627 -0.704597 0.0895287 -0.704469
0.0293 0.0894922 -0.706836 0.0894582 -0.706707
0.0294 0.0894215 -0.709074 0.0893874 -0.708944
0.0295 0.0893506 -0.711309 0.0893164 -0.711178
0.0296 0.0892795 -0.713543 0.0892451 -0.713411
0.0297 0.0892081 -0.715775 0.0891737 -0.715642
0.0298 0.0891366 -0.718005 0.089102 -0.717872
0.0299 0.0890648 -0.720233 0.0890301 -0.720099
0.03 0.0889927 -0.72246 0.088958 -0.722325
0.0301 0.0889205 -0.724685 0.0888856 -0.724549
0.0302 0.088848 -0.726908 0.0888131 -0.726771
0.0303 0.0887753 -0.729129 0.0887403 -0.728991
0.0304 0.0887024 -0.731348 0.0886673 -0.73121
0.0305 0.0886293 -0.733566 0.0885941 -0.733427
0.0306 0.0885559 -0.735782 0.0885206 -0.735641
0.0307 0.0884824 -0.737996 0.0884469 -0.737854
0.0308 0.0884086 -0.740208 0.088373 -0.740066
0.0309 0.0883345 -0.742418 0.0882989 -0.742275
0.031 0.0882603 -0.744626 0.0882246 -0.744482
0.0311 0.0881858 -0.746833 0.08815 -0.746688
0.0312 0.0881112 -0.749037 0.0880752 -0.748892
0.0313 0.0880362 -0.75124 0.0880002 -0.751094
0.0314 0.0879611 -0.753441 0.087925 -0.753294
0.0315 0.0878858 -0.75564 0.0878496 -0.755492
0.0316 0.0878102 -0.757837 0.0877739 -0.757688
0.0317 0.0877344 -0.760033 0.087698 -0.759882
