Tiempo PosicionX_Euler PosicionY_Euler PosicionX_Leapfrog PosicionX_Leapfrog
0 1.496e+11 0 1.496e+11 0
3600 1.496e+11 1.07219e+08 1.496e+11 1.07219e+08
7200 1.496e+11 2.14438e+08 1.496e+11 2.14438e+08
10800 1.496e+11 3.21656e+08 1.496e+11 3.21656e+08
14400 1.496e+11 4.28875e+08 1.49599e+11 4.28874e+08
18000 1.49599e+11 5.36093e+08 1.49599e+11 5.36093e+08
21600 1.49599e+11 6.43311e+08 1.49599e+11 6.4331e+08
25200 1.49598e+11 7.50529e+08 1.49598e+11 7.50528e+08
28800 1.49598e+11 8.57746e+08 1.49598e+11 8.57745e+08
32400 1.49597e+11 9.64963e+08 1.49597e+11 9.64962e+08
36000 1.49597e+11 1.07218e+09 1.49596e+11 1.07218e+09
39600 1.49596e+11 1.17939e+09 1.49595e+11 1.17939e+09
43200 1.49595e+11 1.28661e+09 1.49594e+11 1.28661e+09
46800 1.49594e+11 1.39382e+09 1.49594e+11 1.39382e+09
50400 1.49593e+11 1.50104e+09 1.49592e+11 1.50104e+09
54000 1.49592e+11 1.60825e+09 1.49591e+11 1.60825e+09
57600 1.49591e+11 1.71546e+09 1.4959e+11 1.71546e+09
61200 1.4959e+11 1.82267e+09 1.49589e+11 1.82267e+09
64800 1.49588e+11 1.92989e+09 1.49588e+11 1.92988e+09
68400 1.49587e+11 2.03709e+09 1.49586e+11 2.03709e+09
72000 1.49585e+11 2.1443e+09 1.49585e+11 2.1443e+09
75600 1.49584e+11 2.25151e+09 1.49583e+11 2.2515e+09
79200 1.49582e+11 2.35872e+09 1.49581e+11 2.35871e+09
82800 1.49581e+11 2.46592e+09 1.4958e+11 2.46591e+09
86400 1.49579e+11 2.57312e+09 1.49578e+11 2.57312e+09
90000 1.49577e+11 2.68033e+09 1.49576e+11 2.68032e+09
93600 1.49575e+11 2.78753e+09 1.49574e+11 2.78752e+09
97200 1.49573e+11 2.89473e+09 1.49572e+11 2.89472e+09
100800 1.49571e+11 3.00193e+09 1.4957e+11 3.00191e+09
104400 1.49569e+11 3.10912e+09 1.49568e+11 3.10911e+09
108000 1.49567e+11 3.21632e+09 1.49565e+11 3.2163e+09
111600 1.49564e+11 3.32351e+09 1.49563e+11 3.3235e+09
115200 1.49562e+11 3.4307e+09 1.49561e+11 3.43069e+09
118800 1.49559e+11 3.53789e+09 1.49558e+11 3.53788e+09
122400 1.49557e+11 3.64508e+09 1.49556e+11 3.64506e+09
126000 1.49554e+11 3.75226e+09 1.49553e+11 3.75225e+09
129600 1.49552e+11 3.85945e+09 1.4955e+11 3.85943e+09
133200 1.49549e+11 3.96663e+09 1.49547e+11 3.96661e+09
136800 1.49546e+11 4.07381e+09 1.49545e+11 4.07379e+09
140400 1.49543e+11 4.18099e+09 1.49542e+11 4.18097e+09
144000 1.4954e+11 4.28816e+09 1.49539e+11 4.28814e+09
147600 1.49537e+11 4.39534e+09 1.49535e+11 4.39532e+09
151200 1.49534e+11 4.50251e+09 1.49532e+11 4.50249e+09
154800 1.49531e+11 4.60968e+09 1.49529e+11 4.60965e+09
158400 1.49527e+11 4.71685e+09 1.49526e+11 4.71682e+09
162000 1.49524e+11 4.82401e+09 1.49522e+11 4.82398e+09
165600 1.4952e+11 4.93117e+09 1.49519e+11 4.93114e+09
169200 1.49517e+11 5.03833e+09 1.49515e+11 5.0383e+09
172800 1.49513e+11 5.14549e+09 1.49511e+11 5.14546e+09
176400 1.4951e+11 5.25264e+09 1.49508e+11 5.25261e+09
180000 1.49506e+11 5.35979e+09 1.49504e+11 5.35976e+09
183600 1.49502e+11 5.46694e+09 1.495e+11 5.46691e+09
187200 1.49498e+11 5.57409e+09 1.49496e+11 5.57405e+09
190800 1.49494e+11 5.68123e+09 1.49492e+11 5.68119e+09
194400 1.4949e+11 5.78837e+09 1.49488e+11 5.78833e+09
198000 1.49486e+11 5.89551e+09 1.49484e+11 5.89547e+09
201600 1.49482e+11 6.00264e+09 1.49479e+11 6.0026e+09
205200 1.49477e+11 6.10977e+09 1.49475e+11 6.10973e+09
208800 1.49473e+11 6.2169e+09 1.49471e+11 6.21685e+09
212400 1.49468e+11 6.32402e+09 1.49466e+11 6.32398e+09
